,id,text,label,text_final
0,1,"['اغلق', 'الموشر', 'مستوي', 'انخفاض', 'باحجام', 'تداول', 'بلغت', 'واغلق', 'الموشر', 'بجلسه', 'مستوي', 'واغلق', 'انخفاض', 'باحجام', 'تداول', 'بلغت']",0,"['اغلق', 'موشر', 'مستو', 'انخفاض', 'احجام', 'تداول', 'بلغ', 'واغلق', 'موشر', 'جلس', 'مستو', 'واغلق', 'انخفاض', 'احجام', 'تداول', 'بلغ']"
1,2,"['افتح', 'على', 'ارتفاع', 'حوالى', 'نقطه', 'وبدءت', 'تظهرالقوه', 'البيعيه', 'مره', 'اخرى', 'حيث', 'هبط', 'حوالى', 'نقطه', 'نتوقع', 'ان', 'يرتد', 'السوق', 'مره', 'اخرى', 'الى', 'الارتفاع', 'بدافع', 'من', 'الاسهم', 'القياديه', 'مازالنا', 'نري', 'ان', 'قرب', 'المناطق', 'الحاليه', 'ضعف', 'لقوه', 'البيعيه', 'بدون', 'مقابل']",1,"['افتح', 'على', 'ارتفاع', 'حوالى', 'نقط', 'بدء', 'تظهرالق', 'بيعيه', 'مره', 'اخرى', 'حيث', 'هبط', 'حوالى', 'نقط', 'نتوقع', 'يرتد', 'سوق', 'مره', 'اخرى', 'الى', 'ارتفاع', 'دافع', 'من', 'اسهم', 'قياديه', 'مازال', 'نر', 'قرب', 'مناطق', 'حاليه', 'ضعف', 'لقو', 'بيعيه', 'بدو', 'مقابل']"
2,3,"['الاسماك', 'استمر', 'بالهبوط', 'استسلامه', 'لضغط', 'السلبي', 'واليوم', 'خسارته', 'الدعم', 'ومستوى', 'المقاومه', 'ويظل', 'بالمنطقه', 'سلبيه', 'او', 'و', 'الحين']",0,"['اسماك', 'استمر', 'هبوط', 'استسلام', 'لضغط', 'سلب', 'يوم', 'خسار', 'دعم', 'مستوى', 'مقاومه', 'يظل', 'منطقه', 'سلب', 'حين']"
3,4,"['الزراعه', 'الجيده', 'لاسهم', 'تجني', 'ارباح', 'كثيره', 'ب', 'بدون', 'مقابل']",1,"['زراعه', 'جيده', 'لاس', 'تجن', 'ارباح', 'كثير', 'ب', 'بدو', 'مقابل']"
4,5,"['خدمات', 'السيارات', 'علامه', 'ايجابيه', 'الاستمرار', 'اعلي', 'مستوي', 'دعم', 'ليستهدف', 'مستويات']",1,"['خدم', 'سيار', 'علام', 'ايجاب', 'استمرار', 'اعل', 'مستو', 'دعم', 'يستهدف', 'مستو']"
5,6,"['الزراعه', 'الجيده', 'لاسهم', 'تجني', 'ارباح', 'كثيره', 'ب', 'بدون', 'مقابل']",1,"['زراعه', 'جيده', 'لاس', 'تجن', 'ارباح', 'كثير', 'ب', 'بدو', 'مقابل']"
6,7,"['زين', 'علامه', 'ايجابيه', 'الاستمرار', 'اعلي', 'مستوي', 'ليستهدف']",1,"['زين', 'علام', 'ايجاب', 'استمرار', 'اعل', 'مستو', 'يستهدف']"
7,8,"['الزراعه', 'الجيده', 'لاسهم', 'تجني', 'ارباح', 'كثيره', 'ب', 'بدون', 'مقابل']",1,"['زراعه', 'جيده', 'لاس', 'تجن', 'ارباح', 'كثير', 'ب', 'بدو', 'مقابل']"
8,9,"['راي', 'السوق', 'الاسبوع', 'بانه', 'اخضر', 'وحافل', 'بالعطاء', 'عزاء', 'لمرجفين', 'ملاحظه', 'بدايه', 'الاحد', 'يهبط', 'قليلا', 'لتخويف', 'نرى', 'تحرك', 'لشركات', 'القياديه', 'واله']",1,"['را', 'سوق', 'اسبوع', 'بان', 'اخضر', 'حافل', 'عطاء', 'عزاء', 'مرجف', 'ملاحظ', 'بدا', 'احد', 'يهبط', 'قليل', 'تخويف', 'نرى', 'تحر', 'لشرك', 'قياديه', 'وال']"
9,10,"['انهى', 'جلسه', 'الخميس', 'الماضي', 'على', 'تراجع', 'بنسبه', 'عند', 'نقطه', 'نقطه', 'م', 'ا', 'ادنى', 'اغلاق', 'في', 'نحو', 'عام', 'اي', 'منذ', 'نوفمبر', 'وسط', 'تداولات', 'قليله', 'مقارنه', 'بالجلسات', 'الماضيه', 'بلغت', 'قيمتها', 'مليار', 'ريال', 'بدون', 'مقابل']",0,"['انهى', 'جلس', 'خميس', 'ماض', 'على', 'تراجع', 'نسب', 'عند', 'نقط', 'نقط', 'ا', 'ادنى', 'اغلاق', 'في', 'نحو', 'عام', 'اي', 'منذ', 'نوفمبر', 'وسط', 'تداول', 'قليل', 'مقار', 'جلس', 'ماضيه', 'بلغ', 'قيم', 'مليار', 'ريال', 'بدو', 'مقابل']"
